"NLA_ID","BufWidthM","Pop","PopDensityKm2","BufferAreaKm2","BufferAreaKm2Adj","PercentNA","BufType"
"NLA06608-0145",300,0,0,0.466,0.466,0,"fixed"
"NLA06608-0145",1000,0,0,3.723,3.723,0,"fixed"
"NLA06608-0145",2500,0,0,20.944,20.944,0,"fixed"
"NLA06608-0145",91,0,0,0.084,0.084,0,"radius"
"NLA06608-1169",300,0,0,0.934,0.934,0,"fixed"
"NLA06608-1169",1000,0,0,5.245,5.245,0,"fixed"
"NLA06608-1169",2500,0,0,24.688,24.688,0,"fixed"
"NLA06608-1169",289,0,0,0.888,0.888,0,"radius"
"NLA06608-0913",300,0,0,2.957,2.957,0,"fixed"
"NLA06608-0913",1000,0,0,10.822,10.822,0,"fixed"
"NLA06608-0913",2500,0,0,37.075,37.075,0,"fixed"
"NLA06608-0913",576,0,0,5.788,5.788,0,"radius"
"NLA06608-0401",300,397,25.23,15.736,15.736,0,"fixed"
"NLA06608-0401",1000,655,12.86,50.947,50.947,0,"fixed"
"NLA06608-0401",2500,1008,7.65,131.821,131.821,0,"fixed"
"NLA06608-0401",2919,1085,6.95,156.145,156.145,0,"radius"
"NLA06608-NELP-0955",300,0,0,2.065,2.065,0,"fixed"
"NLA06608-NELP-0955",1000,0,0,9.006,9.006,0,"fixed"
"NLA06608-NELP-0955",2500,0,0,34.013,34.013,0,"fixed"
"NLA06608-NELP-0955",573,0,0,4.414,4.414,0,"radius"
"NLA06608-EMAP:ME012L",300,0,0,2.043,2.043,0,"fixed"
"NLA06608-EMAP:ME012L",1000,0,0,8.763,8.763,0,"fixed"
"NLA06608-EMAP:ME012L",2500,0,0,33.263,33.263,0,"fixed"
"NLA06608-EMAP:ME012L",601,0,0,4.571,4.571,0,"radius"
"NLA06608-NELP-2155",300,0,0,0.908,0.908,0,"fixed"
"NLA06608-NELP-2155",1000,0,0,5.152,5.152,0,"fixed"
"NLA06608-NELP-2155",2500,0,0,24.411,24.411,0,"fixed"
"NLA06608-NELP-2155",259,0,0,0.76,0.76,0,"radius"
"NLA06608-NELP-1330",300,0,0,0.781,0.781,0,"fixed"
"NLA06608-NELP-1330",1000,0,0,4.689,4.689,0,"fixed"
"NLA06608-NELP-1330",2500,0,0,23.247,23.247,0,"fixed"
"NLA06608-NELP-1330",199,0,0,0.459,0.459,0,"radius"
"NLA06608-ELS:1E3-012",300,0,0,0.662,0.662,0,"fixed"
"NLA06608-ELS:1E3-012",1000,0,0,4.37,4.37,0,"fixed"
"NLA06608-ELS:1E3-012",2500,0,0,22.491,22.491,0,"fixed"
"NLA06608-ELS:1E3-012",196,0,0,0.371,0.371,0,"radius"
"NLA06608-NELP-3355",300,0,0,0.598,0.598,0,"fixed"
"NLA06608-NELP-3355",1000,0,0,4.136,4.136,0,"fixed"
"NLA06608-NELP-3355",2500,0,0,21.851,21.851,0,"fixed"
"NLA06608-NELP-3355",146,0,0,0.221,0.221,0,"radius"
"NLA06608-3921",300,1,1.03,0.972,0.972,0,"fixed"
"NLA06608-3921",1000,5,0.93,5.378,5.378,0,"fixed"
"NLA06608-3921",2500,44,1.76,24.97,24.97,0,"fixed"
"NLA06608-3921",264,1,1.21,0.829,0.829,0,"radius"
