"NLA_ID","Comid","MaxDist","PercentImperv_MaxDist","ImpervAreaKm2_MaxDist","PercentNA_MaxDist","WaterKm2_MaxDist","IceSnowKm2_MaxDist","DevOpenKm2_MaxDist","DevLowKm2_MaxDist","DevMedKm2_MaxDist","DevHighKm2_MaxDist","BarrenKm2_MaxDist","DeciduousKm2_MaxDist","EvergreenKm2_MaxDist","MixedForKm2_MaxDist","ShrubKm2_MaxDist","GrassKm2_MaxDist","PastureKm2_MaxDist","CropsKm2_MaxDist","WoodyWetKm2_MaxDist","HerbWetKm2_MaxDist","NLCD_NA_Per_MaxDist","WaterPer_MaxDist","IceSnowPer_MaxDist","DevOpenPer_MaxDist","DevLowPer_MaxDist","DevMedPer_MaxDist","DevHighPer_MaxDist","BarrenPer_MaxDist","DeciduousPer_MaxDist","EvergreenPer_MaxDist","MixedForPer_MaxDist","ShrubPer_MaxDist","GrassPer_MaxDist","PasturePer_MaxDist","CropsPer_MaxDist","WoodyWetPer_MaxDist","HerbWetPer_MaxDist","PercentImperv_300m","ImpervAreaKm2_300m","PercentNA_300m","WaterKm2_300m","IceSnowKm2_300m","DevOpenKm2_300m","DevLowKm2_300m","DevMedKm2_300m","DevHighKm2_300m","BarrenKm2_300m","DeciduousKm2_300m","EvergreenKm2_300m","MixedForKm2_300m","ShrubKm2_300m","GrassKm2_300m","PastureKm2_300m","CropsKm2_300m","WoodyWetKm2_300m","HerbWetKm2_300m","NLCD_NA_Per_300m","WaterPer_300m","IceSnowPer_300m","DevOpenPer_300m","DevLowPer_300m","DevMedPer_300m","DevHighPer_300m","BarrenPer_300m","DeciduousPer_300m","EvergreenPer_300m","MixedForPer_300m","ShrubPer_300m","GrassPer_300m","PasturePer_300m","CropsPer_300m","WoodyWetPer_300m","HerbWetPer_300m","PercentImperv_1500m","ImpervAreaKm2_1500m","PercentNA_1500m","WaterKm2_1500m","IceSnowKm2_1500m","DevOpenKm2_1500m","DevLowKm2_1500m","DevMedKm2_1500m","DevHighKm2_1500m","BarrenKm2_1500m","DeciduousKm2_1500m","EvergreenKm2_1500m","MixedForKm2_1500m","ShrubKm2_1500m","GrassKm2_1500m","PastureKm2_1500m","CropsKm2_1500m","WoodyWetKm2_1500m","HerbWetKm2_1500m","NLCD_NA_Per_1500m","WaterPer_1500m","IceSnowPer_1500m","DevOpenPer_1500m","DevLowPer_1500m","DevMedPer_1500m","DevHighPer_1500m","BarrenPer_1500m","DeciduousPer_1500m","EvergreenPer_1500m","MixedForPer_1500m","ShrubPer_1500m","GrassPer_1500m","PasturePer_1500m","CropsPer_1500m","WoodyWetPer_1500m","HerbWetPer_1500m","PercentImperv_3000m","ImpervAreaKm2_3000m","PercentNA_3000m","WaterKm2_3000m","IceSnowKm2_3000m","DevOpenKm2_3000m","DevLowKm2_3000m","DevMedKm2_3000m","DevHighKm2_3000m","BarrenKm2_3000m","DeciduousKm2_3000m","EvergreenKm2_3000m","MixedForKm2_3000m","ShrubKm2_3000m","GrassKm2_3000m","PastureKm2_3000m","CropsKm2_3000m","WoodyWetKm2_3000m","HerbWetKm2_3000m","NLCD_NA_Per_3000m","WaterPer_3000m","IceSnowPer_3000m","DevOpenPer_3000m","DevLowPer_3000m","DevMedPer_3000m","DevHighPer_3000m","BarrenPer_3000m","DeciduousPer_3000m","EvergreenPer_3000m","MixedForPer_3000m","ShrubPer_3000m","GrassPer_3000m","PasturePer_3000m","CropsPer_3000m","WoodyWetPer_3000m","HerbWetPer_3000m"
"NLA06608-0001",9301511,323,0,0,0,0.009,0.0027,0,0,0,0,0.0144,0.0063,1.0062,0.0117,0.2871,0.0045,0,0,0,0,0,0.67,0.2,0,0,0,0,1.07,0.47,74.98,0.87,21.39,0.34,0,0,0,0,0,0,0,0.009,0.0018,0,0,0,0,0.0126,0.0063,0.9054,0.009,0.2754,0.0036,0,0,0,0,0,0.74,0.15,0,0,0,0,1.03,0.52,74.03,0.74,22.52,0.29,0,0,0,0,0,0,0,0.3582,0.5076,0,0,0,0,1.4625,0.027,6.9849,0.1494,2.1807,0.0045,0,0,0,0,0,3.07,4.35,0,0,0,0,12.53,0.23,59.83,1.28,18.68,0.04,0,0,0,0,0,0,13.6,0.7569,1.1808,0,0,0,0,5.6727,0.027,14.8131,0.6084,9.1161,0.0288,0,0,0,0,15.77,2.35,3.67,0,0,0,0,17.61,0.08,46,1.89,28.31,0.09,0,0,0,0
"NLA06608-0002",9642039,169,0,0,0,0,0,0,0,0,0,0,0,0.1359,0,0,9e-04,0,0,0.1377,0.0972,0,0,0,0,0,0,0,0,0,36.53,0,0,0.24,0,0,37.02,26.13,0,0,0,0.0018,0,0.0018,0,0,0,0,0,0.3654,0,0.0117,0.0054,0,0,0.252,0.1494,0,0.23,0,0.23,0,0,0,0,0,46.37,0,1.48,0.69,0,0,31.98,18.96,0.04,0.004,0,0.0693,0,0.0666,0,0,0,0,0,5.4468,0.0657,0.1494,0.1944,0.3591,0,2.5425,0.5247,0,0.74,0,0.71,0,0,0,0,0,57.83,0.7,1.59,2.06,3.81,0,27,5.57,1.01,0.331,0,0.5445,0,1.4463,0.3969,0.0495,0.0225,0.0459,0.0828,14.6727,0.3942,0.7281,0.4707,0.5247,0,11.1015,2.2473,0,1.66,0,4.42,1.21,0.15,0.07,0.14,0.25,44.83,1.2,2.22,1.44,1.6,0,33.92,6.87
"NLA06608-0003",3169452,94,0.74,0.001,0,0.0081,0,0.009,0,0,0,0,0.0495,0.0225,0.0036,0.0216,0,0,0,0.0171,0.0036,0,6,0,6.67,0,0,0,0,36.67,16.67,2.67,16,0,0,0,12.67,2.67,3.43,0.021,0,0.036,0,0.0486,0.0405,0.0045,0,0,0.2016,0.0522,0.0036,0.1656,0,0,0,0.0549,0.0045,0,5.88,0,7.94,6.62,0.74,0,0,32.94,8.53,0.59,27.06,0,0,0,8.97,0.74,2.13,0.183,0,1.2609,0,0.5508,0.3114,0.0675,0.0045,0.0459,1.6011,0.0522,0.0036,2.3823,0.5562,0.8622,0.0612,0.7245,0.099,0,14.69,0,6.42,3.63,0.79,0.05,0.53,18.65,0.61,0.04,27.76,6.48,10.05,0.71,8.44,1.15,1.71,0.53,0,4.464,0,1.8639,0.9198,0.1395,0.0126,0.1485,3.4299,0.0522,0.0225,6.3621,2.0142,5.1453,5.1228,1.1493,0.2304,0,14.36,0,6,2.96,0.45,0.04,0.48,11.04,0.17,0.07,20.47,6.48,16.56,16.48,3.7,0.74
"NLA06608-0004",3262179,260,0.33,0.005,0,0,0,0,0,0,0,0,0.0045,0.5148,0,0.9495,0,0.0459,0,0.0099,9e-04,0,0,0,0,0,0,0,0,0.29,33.74,0,62.22,0,3.01,0,0.65,0.06,0.28,0.005,0,0,0,0,0,0,0,0,0.0045,0.612,0,1.0818,0.0018,0.054,0,0.0126,9e-04,0,0,0,0,0,0,0,0,0.25,34.62,0,61.19,0.1,3.05,0,0.71,0.05,0.53,0.071,0,0.6237,0,0.2007,0.0018,0,0,0,0.4698,5.4234,0,5.652,0.1467,0.5544,0.0855,0.1458,0.0288,0,4.68,0,1.51,0.01,0,0,0,3.52,40.68,0,42.39,1.1,4.16,0.64,1.09,0.22,0.43,0.171,0,0.7002,0,0.54,0.0621,0,0,0,1.6488,19.6038,0.0018,13.6764,0.2439,2.8269,0.243,0.5409,0.0585,0,1.74,0,1.35,0.15,0,0,0,4.11,48.83,0,34.07,0.61,7.04,0.61,1.35,0.15
"NLA06608-0005",23491387,176,0.47,0.002,0,0.009,0,0,0,0,0,0,0,0.2133,0,0.0693,0.0495,0,0,0.0801,0.0036,0,2.12,0,0,0,0,0,0,0,50.19,0,16.31,11.65,0,0,18.85,0.85,0.48,0.004,0,0.009,0,0,0,0,0,0,0,0.3969,0,0.1584,0.1269,0,0,0.1215,0.018,0,1.08,0,0,0,0,0,0,0,47.76,0,19.06,15.27,0,0,14.62,2.17,0.29,0.028,0,0.9936,0,0,0,0,0,0,0,4.4667,0,1.5993,1.4652,0.0306,0,0.6336,0.4554,0,10.3,0,0,0,0,0,0,0,46.32,0,16.58,15.19,0.32,0,6.57,4.72,0.33,0.108,0,2.8791,0,0.1719,0.1233,0,0,0,0,14.3847,0,6.9309,5.2173,1.1934,0.0216,0.891,1.3293,0,8.69,0,0.52,0.37,0,0,0,0,43.4,0,20.91,15.74,3.6,0.07,2.69,4.01
"NLA06608-0006",7711476,191,0.33,0.004,0,0.1305,0,0.0423,0.0063,0,0,0,0.6813,0.2286,0.0108,0.0018,0,0.0927,0,0.0027,0,0,10.9,0,3.53,0.53,0,0,0,56.92,19.1,0.9,0.15,0,7.74,0,0.23,0,0.36,0.007,0,0.1764,0,0.0972,0.0072,0,0,0,1.1673,0.3168,0.0486,0.0018,0,0.1062,0,0.0045,0,0,9.16,0,5.05,0.37,0,0,0,60.61,16.45,2.52,0.09,0,5.51,0,0.23,0,0.52,0.076,0,1.0512,0,0.7281,0.1143,0,0,0,9.603,0.8982,0.2034,0.063,0,1.548,0.0684,0.3411,0.0351,0,7.17,0,4.97,0.78,0,0,0,65.53,6.13,1.39,0.43,0,10.56,0.47,2.33,0.24,1.22,0.525,0,1.4238,0,2.8746,0.8334,0.0396,0,0,25.7139,1.3347,0.4842,0.2574,0.027,8.5536,0.2313,1.0611,0.0864,0,3.32,0,6.7,1.94,0.09,0,0,59.91,3.11,1.13,0.6,0.06,19.93,0.54,2.47,0.2
"NLA06608-0007",13080617,126,0.95,0.004,0,0.0252,0,0.036,0.0027,0,0,0,0.135,0.0558,0.0522,0,0,0.0972,0,0.0162,0,0,6,0,8.57,0.64,0,0,0,32.14,13.29,12.43,0,0,23.14,0,3.86,0,0.53,0.006,0,0.0252,0,0.0918,0.0045,0,0,0,0.3933,0.1206,0.0927,0,0.0144,0.3636,0,0.027,0.0018,0,2.22,0,8.09,0.4,0,0,0,34.65,10.63,8.17,0,1.27,32.04,0,2.38,0.16,0.36,0.04,0,0.45,0,0.5427,0.0234,0,0,0,5.3019,0.4887,0.7407,0.0252,0.0837,2.3814,0.2232,0.3474,0.4878,0,4.06,0,4.89,0.21,0,0,0,47.78,4.4,6.68,0.23,0.75,21.46,2.01,3.13,4.4,0.74,0.265,0,4.1643,0,2.3688,0.1764,0.0522,0.0162,0,16.3485,0.8685,1.9908,0.0468,0.1872,6.1821,0.684,1.2645,1.6767,0,11.56,0,6.58,0.49,0.14,0.04,0,45.38,2.41,5.53,0.13,0.52,17.16,1.9,3.51,4.65
"NLA06608-0008",22250049,150,0.99,0.009,0,0.0738,0,0.0693,0.0099,0,0,0,0.6498,0,0,0,0.0279,0.0036,0.0036,0.0603,0.0108,0,8.12,0,7.62,1.09,0,0,0,71.49,0,0,0,3.07,0.4,0.4,6.63,1.19,0.99,0.019,0,0.1017,0,0.1674,0.0162,0,0,0,1.3518,0.0144,0.009,0,0.0882,0.0441,0.0396,0.0729,0.0108,0,5.31,0,8.74,0.85,0,0,0,70.55,0.75,0.47,0,4.6,2.3,2.07,3.8,0.56,0.47,0.068,0,0.5103,0,0.477,0.0702,0.0045,0,0.0099,5.4945,0.0729,0.0603,0.0135,0.9288,2.1942,4.4235,0.3051,0.0297,0,3.5,0,3.27,0.48,0.03,0,0.07,37.65,0.5,0.41,0.09,6.36,15.03,30.31,2.09,0.2,0.68,0.289,0,0.7002,0,1.6776,0.4671,0.0099,0,0.0099,11.8404,0.0846,0.0711,0.0585,2.394,10.9377,13.6737,0.6372,0.0459,0,1.64,0,3.94,1.1,0.02,0,0.02,27.79,0.2,0.17,0.14,5.62,25.67,32.09,1.5,0.11
"NLA06608-0010",13173017,227,9.43,0.063,0,0.0738,0,0.1377,0.1593,9e-04,0,0,0.2232,0,0.0045,0.0081,0,0,0,0.0603,0,0,11.05,0,20.61,23.85,0.13,0,0,33.41,0,0.67,1.21,0,0,0,9.03,0,8.38,0.079,0,0.1107,0,0.2007,0.1917,0.0045,0,0,0.3285,0,0.0054,0.0081,0,0,0,0.0936,0,0,11.74,0,21.28,20.33,0.48,0,0,34.84,0,0.57,0.86,0,0,0,9.93,0,9.76,0.997,0,0.324,0,3.1212,1.5597,0.2907,0.1026,0.1773,2.1267,0.0648,0.0792,0.0081,0.054,0.1935,0.0612,1.9035,0.1431,0,3.17,0,30.57,15.28,2.85,1,1.74,20.83,0.63,0.78,0.08,0.53,1.9,0.6,18.64,1.4,10.39,3.569,0,2.5569,0,9.7704,6.6285,0.8919,0.1962,0.3906,4.9518,0.0828,0.1809,0.027,0.144,1.5084,0.5958,5.7573,0.6651,0,7.44,0,28.45,19.3,2.6,0.57,1.14,14.42,0.24,0.53,0.08,0.42,4.39,1.73,16.76,1.94
"NLA06608-0012",493066,269,1.62,0.058,0,0.1665,0,0.315,0.0549,0.0081,0.018,0.0261,0.9495,0.2241,0,0,1.5273,0.243,0.0477,0,0,0,4.65,0,8.8,1.53,0.23,0.5,0.73,26.52,6.26,0,0,42.66,6.79,1.33,0,0,1.56,0.062,0,0.1755,0,0.3366,0.0603,0.0099,0.018,0.0306,1.0026,0.2385,0,0,1.7496,0.2871,0.0756,0,0,0,4.41,0,8.45,1.51,0.25,0.45,0.77,25.17,5.99,0,0,43.92,7.21,1.9,0,0,0.84,0.19,0,0.2403,0,1.0449,0.2754,0.0234,0.018,0.036,2.7378,0.882,0,0,9.7677,3.438,4.1238,0,0.009,0,1.06,0,4.62,1.22,0.1,0.08,0.16,12.12,3.9,0,0,43.23,15.22,18.25,0,0.04,0.92,0.528,0,1.2996,0,2.9187,0.7938,0.0702,0.018,0.7749,7.9965,2.3994,0,0,24.5718,7.578,8.8641,0,0.009,0,2.27,0,5.09,1.39,0.12,0.03,1.35,13.96,4.19,0,0,42.89,13.23,15.47,0,0.02
